"acc_y";"acc_z";"time_ms";"acc_x"
398;455;1669;-780
386;460;1674;-761
386;460;1679;-761
386;460;1683;-775
386;460;1688;-775
414;483;1693;-775
397;456;1698;-785
380;455;1703;-785
380;455;1708;-766
380;455;1713;-774
403;485;1718;-782
399;456;1722;-782
399;456;1727;-782
399;456;1732;-782
399;456;1737;-763
385;454;1742;-763
408;485;1747;-763
408;485;1752;-755
400;457;1757;-787
380;450;1761;-768
380;450;1766;-768
380;450;1771;-757
380;450;1776;-757
401;480;1781;-757
401;480;1786;-757
414;480;1791;-782
414;480;1796;-782
381;453;1800;-767
401;484;1805;-753
401;484;1810;-753
415;488;1815;-771
415;488;1820;-771
415;488;1825;-768
415;488;1830;-756
380;449;1835;-756
380;449;1839;-756
400;482;1844;-756
414;486;1849;-769
402;465;1854;-769
402;465;1859;-772
402;465;1864;-755
398;481;1869;-755
416;486;1874;-755
416;486;1878;-769
416;486;1883;-784
416;486;1888;-784
409;465;1893;-784
398;481;1898;-784
398;481;1903;-750
419;487;1908;-765
419;487;1913;-783
405;464;1917;-783
405;464;1922;-783
386;446;1927;-750
386;446;1932;-765
386;446;1937;-765
414;486;1942;-765
414;486;1947;-765
405;468;1952;-781
383;449;1956;-773
383;449;1961;-766
383;449;1966;-766
416;488;1971;-766
406;470;1976;-787
406;470;1981;-776
406;470;1986;-776
406;470;1990;-776
383;448;1995;-776
391;476;2000;-766
408;472;2005;-780
408;472;2010;-780
408;472;2015;-775
387;451;2020;-756
391;472;2025;-756
391;472;2029;-756
391;472;2034;-756
391;472;2039;-784
410;473;2044;-784
386;448;2049;-781
386;448;2054;-781
390;470;2059;-754
411;485;2064;-782
411;485;2068;-782
411;485;2073;-782
411;485;2078;-780
385;447;2083;-752
385;447;2088;-752
389;470;2093;-752
389;470;2098;-752
414;485;2103;-759
392;449;2107;-779
392;449;2112;-747
392;449;2117;-747
391;472;2122;-747
414;489;2127;-755
414;489;2132;-783
414;489;2137;-783
414;489;2142;-783
409;483;2146;-783
377;471;2151;-754
406;497;2156;-764
406;497;2161;-764
406;497;2166;-781
401;488;2171;-765
375;461;2176;-765
375;461;2181;-765
375;461;2185;-765
375;461;2190;-760
409;490;2195;-760
417;484;2200;-785
417;449;2205;-785
404;449;2210;-758
419;482;2215;-753
419;482;2220;-753
419;482;2224;-774
419;482;2229;-774
424;476;2234;-775
424;476;2239;-775
