x_f,y_f,z_f,x,y,z,time_ms
154.07,761.25,562.11,210,781,576,947.47209455023
165.09,763.46,563.42,104,740,560,956.007879185818
172.38,764.64,565.88,167,765,570,964.543663821405
176.52,765.14,568.36,206,785,581,973.079448456993
174.86,764.5,569.93,140,766,562,981.61523309258
169.13,763.67,570.07,165,771,566,990.151017728168
163.26,764.06,569.55,165,771,566,998.686802363756
161.97,766.51,568.85,210,788,575,1007.22258699934
165.8,770.13,568.19,144,765,563,1015.75837163493
170.24,772.75,567.24,154,765,570,1024.29415627052
172.85,773.45,566.08,154,765,581,1032.82994090611
171.38,772.1,565.69,152,768,569,1041.36572554169
165.91,769.35,566.58,152,768,569,1049.90151017728
156.45,765.74,568.58,152,768,569,1058.43729481287
149.22,763.64,570.28,213,782,579,1066.97307944846
149.98,764.62,570.83,162,763,573,1075.50886408404
159.39,767.88,570.57,162,763,573,1084.04464871963
172.17,770.82,570.5,96,741,561,1092.58043335522
175.19,769.18,570.94,96,741,582,1101.11621799081
163.52,762.59,571.21,219,790,582,1109.6520026264
143.68,754.84,571,166,772,569,1118.18778726198
132.03,751.92,570.86,142,756,567,1126.72357189757
137.3,755.8,571.77,142,756,567,1135.25935653316
153.33,762.62,573.38,165,767,570,1143.79514116875
165.21,766.34,573.89,96,750,558,1152.33092580433
162.59,764.34,572.21,96,750,558,1160.86671043992
147.54,758.94,568.81,129,756,567,1169.40249507551
129.92,754.23,565.16,172,774,570,1177.9382797111
118.64,752.62,562.26,94,751,565,1186.47406434668
115.77,753.28,560.93,133,753,563,1195.00984898227
117.94,754.29,560.98,210,787,576,1203.54563361786
126.63,756.56,562.2,210,787,576,1212.08141825345
141.34,760.79,564.23,100,747,560,1220.61720288903
157.27,765.74,566.29,127,755,568,1229.15298752462
168.27,769.22,567.74,210,785,582,1237.68877216021
168.82,769.44,568.58,98,751,562,1246.2245567958
160.19,766.75,568.98,126,747,562,1254.76034143139
147.32,762.48,569.17,126,747,562,1263.29612606697
136.22,757.86,568.73,211,779,576,1271.83191070256
132.9,754.58,567.33,179,771,574,1280.36769533815
139.28,754.14,565.42,115,749,567,1288.90347997374
151.2,756.27,564.46,115,749,567,1297.43926460932
159.4,758.85,565.52,184,780,568,1305.97504924491
157.18,759.56,567.84,184,780,568,1314.5108338805
148.2,758.91,569.4,184,780,568,1323.04661851609
145.22,760.5,568.77,201,784,574,1331.58240315167
157.08,766.8,566.83,190,782,575,1340.11818778726
177.64,775.37,565.81,190,782,575,1348.65397242285
192.86,781.3,566.59,112,756,572,1357.18975705844
193.89,781.81,568.79,199,779,572,1365.72554169402
183.42,778.16,571.14,199,779,572,1374.26132632961
171.4,773.57,572.59,199,777,574,1382.7971109652
167.53,770.89,572.67,201,776,576,1391.33289560079
174.62,771.04,571.75,203,779,579,1399.86868023638
188.03,773.21,570.92,203,779,579,1408.40446487196
201.14,775.93,571.18,203,779,579,1416.94024950755
208.86,778.09,573.05,116,753,562,1425.47603414314
206.46,777.65,575.6,101,740,566,1434.01181877873
192.91,773.58,576.89,202,783,578,1442.54760341431
172.63,767,575.77,117,758,564,1451.0833880499
150.59,759.88,572.64,95,747,566,1459.61917268549
134.86,755.51,569.22,206,787,574,1468.15495732108
130.59,755.76,567.08,206,787,574,1476.69074195666
138.39,760.4,566.76,122,760,562,1485.22652659225
151.74,766.5,567.65,94,746,562,1493.76231122784
162.22,770.76,568.48,184,775,573,1502.29809586343
162.78,770.92,568.59,129,759,562,1510.83388049902
154.45,767.4,567.6,90,739,564,1519.3696651346
143.28,761.77,566.13,90,739,564,1527.90544977019
131.38,755.61,564.69,90,771,570,1536.44123440578
119.85,751.06,563.78,131,758,563,1544.97701904137
108.18,749.28,563.68,92,739,561,1553.51280367695
96.72,749.01,563.97,92,739,561,1562.04858831254
90.85,748.89,563.75,214,783,580,1570.58437294813
94.43,748.15,562.77,214,783,580,1579.12015758372
