x_f,y_f,z_f,x,y,z,time_ms
22.5,732.67,604.5,23,753,637,0
24.22,728.45,602.62,45,775,624,8
25.09,729.45,604.24,45,775,624,16
28.17,735.87,607.91,45,775,624,24
30.82,740.41,609.26,32,740,602,32
33.17,742.62,610.42,1,704,621,40
30.79,739.74,609.95,1,704,621,48
28.25,734.92,608.9,28,762,620,56
22.86,732.1,608.43,-3,787,635,64
16.4,73.86,609.88,-3,787,635,72
10.73,736.65,613.53,-2,788,651,80
8.52,741.18,614.53,33,738,1,88
5.33,744.04,615.55,-14,706,624,96
4.88,743.53,614.82,-2,710,611,104
6.67,738.76,611.97,33,726,611,112
7.9,728.89,608.82,33,726,634,120
12.2,719.26,606.83,33,726,660,128
14.22,716.45,608.67,-7,775,622,136
18.85,716.8,609.47,0,759,622,144
20.85,722.74,613.61,-1,717,622,152
22.37,727.73,616.77,-17,717,622,160
20.71,730.19,617.13,-17,717,622,168
15.31,728.48,616.78,30,737,613,176
12.05,725.44,614.93,39,765,652,184
9.76,724.16,614.73,-13,778,652,192
8.47,723.63,614.73,31,754,625,200
9.05,726.42,616.93,48,738,604,208
12.24,729.91,617.79,48,738,604,216
18.73,734.7,617.06,-16,722,630,224
21.42,735.48,615.99,29,738,618,232
25.19,734.34,612.97,38,758,618,240
25.75,732.19,610.78,38,767,624,248
25.57,730.61,608.07,30,751,624,256
27.95,729.95,607,30,751,624,264
28.27,732.3,608.1,30,751,624,272
28.6,735.61,610.06,45,728,601,280
29.68,736.19,610.06,23,748,621,288
32.42,737.02,609.14,23,748,621,296
31.82,735.76,608.47,37,762,617,304
31.36,734.73,607.59,8,769,620,312
28.96,735.02,606.88,8,769,620,320
26.43,737.85,606.68,-22,759,640,328
20.81,741.09,608.4,47,735,609,336
18.88,742.36,608.49,15,729,603,344
14.84,742.66,609.14,-17,736,634,352
11.39,739.8,609.67,45,761,618,360
12.55,737.34,608.99,45,761,618,368
14.18,734.84,608.65,17,768,618,376
17.2,734.63,608.15,-20,756,633,384
17.11,735.91,609.15,15,745,626,392
19.31,737.87,609.13,15,745,626,400
16.18,740.12,611.03,-18,739,629,408
11.9,740.31,613.36,-18,739,629,416
8.51,738.56,613.89,-18,739,629,424
1.43,734.78,615.32,16,754,632,432
-2.51,732.49,616.57,-21,749,630,440
-6.33,730.66,617.6,-21,749,630,448
-7.5,730.67,617.77,14,739,625,456
-7.96,731.18,617.94,45,732,609,464
-5.01,730.93,616.67,45,732,609,472
1.89,730.08,614.39,-19,741,625,480
5.94,728.81,612.36,10,754,635,488
11.32,728.31,611.14,46,762,623,496
15.32,728.52,610.03,-19,751,628,504
15.78,729.95,610.5,7,743,626,512
15.88,731.74,611.57,7,743,626,520
13.12,733.71,612.94,7,743,626,528
9.57,734.85,614.55,27,740,606,536
7.98,734.54,614.07,2,749,637,544
9.03,733.65,614.08,2,749,637,552
9.02,732.42,613.73,45,757,622,560
9.91,732.17,613.9,31,756,612,568
14.34,733.38,613.38,31,756,612,576
17.79,735.55,612.56,5,740,633,584
19.67,736.63,612.49,41,739,614,592
23.38,736.82,610.78,32,743,606,600
24.74,736.31,609.63,32,743,606,608
26.99,734.52,606.64,-1,757,637,616
26.67,733.66,605.93,43,758,617,624
26.25,733.29,605.41,43,759,612,632
27,734.39,605.54,-16,747,620,640
24.08,735.51,606.37,41,740,611,648
25.6,736.83,605.52,41,740,611,656
24.97,737.03,605.42,-13,747,619,664
22.32,736.21,605.48,-13,747,619,672
18.59,734.93,605.56,-13,747,619,680
15.04,733.18,604.4,38,748,618,688
11.66,732.27,604.86,-9,739,619,696
